StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q3,Q5,Q7,Q9,Q11,Q13,Q15,Q17,Q19,Random_ID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Pass me the...,Random_ID
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9_TEXT""}","{""ImportId"":""QID11_TEXT""}","{""ImportId"":""QID13_TEXT""}","{""ImportId"":""QID15_TEXT""}","{""ImportId"":""QID17_TEXT""}","{""ImportId"":""QID19_TEXT""}","{""ImportId"":""Random_ID""}"
2020-02-10 21:39:26,2020-02-10 21:41:13,IP Address,113.193.51.182,100,106,True,2020-02-10 21:41:14,R_2rAQ36u65EnPA13,,,,,19.0747985839844,72.8856048583984,anonymous,EN,purple block,,,,,green cube,,,,8247
2020-02-10 21:40:51,2020-02-10 21:43:25,IP Address,68.96.244.242,100,154,True,2020-02-10 21:43:26,R_2bUwzygL1wHBJRv,,,,,36.3224945068359,-115.29109954834,anonymous,EN,purple box,purple box,long purple box,long purple box,pink cup,smallest green box,smallest green box,long purple block,long purple block,5775
2020-02-10 21:39:43,2020-02-10 21:45:08,IP Address,76.100.197.204,100,325,True,2020-02-10 21:45:09,R_1qfgFp9LANakclp,,,,,39.3247985839844,-76.606201171875,anonymous,EN,,the purple square block,,the blue rectangular block,the small brown cup,the small green square block,small green square block,,,4221
2020-02-10 21:44:46,2020-02-10 21:45:40,IP Address,24.202.91.37,100,54,True,2020-02-10 21:45:41,R_3dYQdDrjurABXAp,,,,,45.3878936767578,-71.8988037109375,anonymous,EN,purple cube,purple cube,purple rectangle,purple block,pink mug,small green cube,,purple rectangle,purple rectangle,3437
2020-02-10 21:45:12,2020-02-10 21:47:38,IP Address,196.16.22.176,100,146,True,2020-02-10 21:47:39,R_2V4MpD8dJpZx1vj,,,,,41.8482971191406,-87.6517028808594,anonymous,EN,,,rectangle,,,,,rectangle,rectangle,6800
2020-02-10 21:47:12,2020-02-10 21:49:17,IP Address,185.224.141.209,100,124,True,2020-02-10 21:49:17,R_eVUdxHbpsaMGi0V,,,,,37.3388061523437,-121.891403198242,anonymous,EN,,,RECTANGLE,rectangle,,,,RECTANGLE,rectangle,9612
2020-02-10 21:50:00,2020-02-10 21:51:29,IP Address,157.50.81.175,100,88,True,2020-02-10 21:51:29,R_da3zU7vdWHtzmQF,,,,,13.0859985351563,80.2750854492188,anonymous,EN,,,,,,,,,,4941
2020-02-10 21:50:25,2020-02-10 21:52:10,IP Address,73.48.80.170,100,105,True,2020-02-10 21:52:11,R_1NfF6z2HNvQ5aFt,,,,,30.4907989501953,-84.315803527832,anonymous,EN,purple cube,purple cube,rectangular block,rectangular block,pink mug,smallest green block,smallest green block,rectangular block,rectangular box,9052
2020-02-10 21:51:00,2020-02-10 21:52:43,IP Address,72.220.95.19,100,102,True,2020-02-10 21:52:43,R_3NFnEQQ8y7BOTiM,,,,,33.0312957763672,-116.857894897461,anonymous,EN,purple block,purple block,purple rectangle block,purple rectangle block,pink cup,small green block,,purple rectangle block,purple rectangle block,2520
2020-02-10 21:54:45,2020-02-10 21:57:18,IP Address,185.222.38.53,100,153,True,2020-02-10 21:57:19,R_1EYaotXRsevDnoA,,,,,32.7787017822266,-96.8217010498047,anonymous,EN,,,Rectangle,Rectangle,,,,Rectangle,Rectangle,9684
2020-02-10 22:00:25,2020-02-10 22:03:07,IP Address,69.243.255.74,100,161,True,2020-02-10 22:03:07,R_6ycQL3lT6vGg2tz,,,,,39.0274047851562,-94.2087020874024,anonymous,EN,,violet square box,,violet rectangle,,green square box,,violet rectangle box,,4668
